MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BLKGRP,BLOCK,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5040,2.10404E+14,110010001004046,11,1,100,4,4046,4046,Block 4046,BK,S,,,,48203,U,38.9006191,-77.0602668,38.9006191,-77.0602668
G5040,2.10404E+14,110010001004047,11,1,100,4,4047,4047,Block 4047,BK,S,,,,350038,U,38.8972321,-77.0628277,38.9007514,-77.064906
G5040,2.10404E+14,110010001004048,11,1,100,4,4048,4048,Block 4048,BK,S,,,308356,277,U,38.8968034,-77.0629758,38.8968071,-77.0629789
G5040,2.10404E+14,110010001004049,11,1,100,4,4049,4049,Block 4049,BK,S,,,,93750,U,38.8961719,-77.0573441,38.8961719,-77.0573441
G5040,2.10404E+14,110010001004050,11,1,100,4,4050,4050,Block 4050,BK,S,,,1540,,U,38.9033755,-77.0568373,38.9033755,-77.0568373
G5040,2.10404E+14,110010002011000,11,1,201,1,1000,1000,Block 1000,BK,S,28,2,100021,,U,38.9102145,-77.0709775,38.9102145,-77.0709775
G5040,2.10404E+14,110010002011001,11,1,201,1,1001,1001,Block 1001,BK,S,3888,,373497,,U,38.9092145,-77.0752141,38.9092145,-77.0752141
G5040,2.10404E+14,110010002011002,11,1,201,1,1002,1002,Block 1002,BK,S,,,66739,,U,38.9085918,-77.0786511,38.9085918,-77.0786511
G5040,2.10404E+14,110010002021000,11,1,202,1,1000,1000,Block 1000,BK,S,,,5380,,U,38.9170129,-77.0691181,38.9170129,-77.0691181
G5040,2.10404E+14,110010002021001,11,1,202,1,1001,1001,Block 1001,BK,S,174,103,38703,,U,38.9151134,-77.06866,38.9151134,-77.06866
G5040,2.10404E+14,110010002021002,11,1,202,1,1002,1002,Block 1002,BK,S,40,19,13754,,U,38.9144638,-77.0675042,38.9144638,-77.0675042
G5040,2.10404E+14,110010002021003,11,1,202,1,1003,1003,Block 1003,BK,S,65,29,14114,,U,38.913189,-77.0671575,38.913189,-77.0671575
G5040,2.10404E+14,110010002021004,11,1,202,1,1004,1004,Block 1004,BK,S,107,45,12903,,U,38.9131856,-77.0685854,38.9131856,-77.0685854
G5040,2.10404E+14,110010002021005,11,1,202,1,1005,1005,Block 1005,BK,S,78,51,12656,,U,38.9121988,-77.0685612,38.9121988,-77.0685612
G5040,2.10404E+14,110010002021006,11,1,202,1,1006,1006,Block 1006,BK,S,126,61,17034,,U,38.9122308,-77.0670025,38.9122308,-77.0670025
G5040,2.10404E+14,110010002021007,11,1,202,1,1007,1007,Block 1007,BK,S,29,15,8971,,U,38.9113871,-77.065785,38.9113871,-77.065785
G5040,2.10404E+14,110010002021008,11,1,202,1,1008,1008,Block 1008,BK,S,112,60,16854,,U,38.9112372,-77.0670018,38.9112372,-77.0670018
G5040,2.10404E+14,110010002021009,11,1,202,1,1009,1009,Block 1009,BK,S,81,48,12467,,U,38.9112072,-77.0685319,38.9112072,-77.0685319
G5040,2.10404E+14,110010002021010,11,1,202,1,1010,1010,Block 1010,BK,S,167,73,12734,,U,38.9118226,-77.071599,38.9116574,-77.0726111
G5040,2.10404E+14,110010002021011,11,1,202,1,1011,1011,Block 1011,BK,S,217,100,26396,,U,38.9122221,-77.0709414,38.9122221,-77.0709414
G5040,2.10404E+14,110010002022000,11,1,202,2,2000,2000,Block 2000,BK,S,91,47,11725,,U,38.9102474,-77.065478,38.9102474,-77.065478
G5040,2.10404E+14,110010002022001,11,1,202,2,2001,2001,Block 2001,BK,S,31,14,16715,,U,38.910248,-77.0669841,38.910248,-77.0669841
G5040,2.10404E+14,110010002022002,11,1,202,2,2002,2002,Block 2002,BK,S,69,41,12106,,U,38.9102179,-77.0685015,38.9102179,-77.0685015
G5040,2.10404E+14,110010002022003,11,1,202,2,2003,2003,Block 2003,BK,S,78,31,11979,,U,38.9092302,-77.0684739,38.9092302,-77.0684739
G5040,2.10404E+14,110010002022004,11,1,202,2,2004,2004,Block 2004,BK,S,120,64,16678,,U,38.909261,-77.0669689,38.909261,-77.0669689
G5040,2.10404E+14,110010002022005,11,1,202,2,2005,2005,Block 2005,BK,S,113,57,16466,,U,38.9092779,-77.0652169,38.9092779,-77.0652169
G5040,2.10404E+14,110010002022006,11,1,202,2,2006,2006,Block 2006,BK,S,91,44,21418,,U,38.9082995,-77.0649529,38.9082995,-77.0649529
G5040,2.10404E+14,110010002022007,11,1,202,2,2007,2007,Block 2007,BK,S,115,54,16792,,U,38.9082726,-77.0669547,38.9082726,-77.0669547
G5040,2.10404E+14,110010002022008,11,1,202,2,2008,2008,Block 2008,BK,S,105,43,11674,,U,38.9082412,-77.0684494,38.9082412,-77.0684494
G5040,2.10404E+14,110010002023000,11,1,202,3,3000,3000,Block 3000,BK,S,88,57,18698,,U,38.9073186,-77.064283,38.9073186,-77.064283
G5040,2.10404E+14,110010002023001,11,1,202,3,3001,3001,Block 3001,BK,S,44,27,7681,,U,38.9073014,-77.065667,38.9073014,-77.065667
G5040,2.10404E+14,110010002023002,11,1,202,3,3002,3002,Block 3002,BK,S,78,50,16803,,U,38.9072823,-77.066947,38.9072823,-77.066947
G5040,2.10404E+14,110010002023003,11,1,202,3,3003,3003,Block 3003,BK,S,111,43,11466,,U,38.9072486,-77.0684218,38.9072486,-77.0684218
